SN,Name,Launch Date,Launcher Type,Payload,Remarks
1,PSLV-C45/EMISAT MISSION,01-04-2019,PSLV-QL,EMISAT,
2,PSLV-C24/IRNSS-1B,04-04-2014,PSLV-XL,IRNSS-1B,
3,PSLV-C41/IRNSS-1I,12-04-2018,PSLV-XL,IRNSS-1I,
4,GSLV-D3 / GSAT-4,15-04-2010,GSLV-MK-II,GSAT-4,Mission Unsuccessful
5,SLV-3,17-04-1983,,Rohini Satellite RS-D2,
6,GSLV-D1 / GSAT-1,18-04-2001,GSLV-MK-II,GSAT-1,
7,PSLV-C12 / RISAT-2,20-04-2009,PSLV-CA,RISAT-2,
8,PSLV-C16/RESOURCESAT-2,20-04-2011,PSLV-G,RESOURCESAT-2YOUTHSAT,
9,PSLV-C8,23-04-2007,PSLV-CA,,
10,PSLV-C19/RISAT-1,26-04-2012,PSLV-XL,RISAT-1,
11,PSLV-C9 / CARTOSAT – 2A,28-04-2008,PSLV-CA,CARTOSAT – 2AIMS-1,
12,PSLV-C33/IRNSS-1G,28-04-2016,PSLV-XL,IRNSS-1G,
13,SLV-3E1,10-08-1979,,Rohini Technology Payload (RTP),Mission Unsuccessful
14,GSLV-D6,27-08-2015,GSLV-MK-II,GSAT-6,
15,Scramjet Engine - TD,28-08-2016,,,
16,PSLV-C39/IRNSS-1H Mission,31-08-2017,PSLV-XL,IRNSS-1H,Mission Unsuccessful
17,PSLV-C36 / RESOURCESAT-2A,07-12-2016,PSLV-XL,RESOURCESAT-2A,
18,PSLV-C48/RISAT-2BR1,11-12-2019,PSLV-QL,RISAT-2BR1,
19,PSLV-C29 / TeLEOS-1 Mission,16-12-2015,PSLV-CA,,
20,LVM-3/CARE Mission,18-12-2014,GSLV-MK-III,Crew module Atmospheric Re-entry Experiment (CARE),
21,GSLV-F11 / GSAT-7A Mission,19-12-2018,GSLV,GSAT-7A,
22,GSLV-F06 / GSAT-5P,25-12-2010,GSLV-MK-II,GSAT-5P,Mission Unsuccessful
23,PSLV-C37 / Cartosat -2 Series Satellite,15-02-2017,PSLV-XL,Cartosat -2 Series Satellite,
24,PSLV-C20/SARAL,25-02-2013,PSLV-CA,SARAL,
25,GSLV-D5/GSAT-14,05-01-2014,GSLV-MK-II,GSAT-14,
26,PSLV-C7 / CARTOSAT-2 / SRE-1,10-01-2007,PSLV-G,CARTOSAT-2SRE-1,
27,PSLV-C40/Cartosat-2 Series Satellite Mission,12-01-2018,PSLV-XL,Cartosat-2 Series Satellite,
28,PSLV-C31/IRNSS-1E,20-01-2016,PSLV-XL,IRNSS-1E,
29,PSLV-C10,21-01-2008,PSLV-CA,,
30,PSLV-C44,24-01-2019,PSLV-DL,Microsat-R,
31,PSLV-C22/IRNSS-1A,01-07-2013,PSLV-XL,IRNSS-1A,
32,GSLV-F02 / INSAT-4C,10-07-2006,GSLV-MK-II,INSAT-4C,Mission Unsuccessful
33,PSLV-C28 / DMC3 Mission,10-07-2015,PSLV-XL,,
34,PSLV-C15/CARTOSAT-2B,12-07-2010,PSLV-CA,CARTOSAT-2B,
35,ASLV-D2,13-07-1988,,SROSS-2,Mission Unsuccessful
36,PSLV-C17/GSAT-12,15-07-2011,PSLV-XL,GSAT-12,
37,SLV-3E2,18-07-1980,,Rohini Satellite RS-1,
38,GSLV-Mk III - M1 / Chandrayaan-2 Mission,22-07-2019,GSLV-MK-III,Chandrayaan2,
39,GSLV Mk III-D1/GSAT-19 Mission,05-06-2017,GSLV-MK-III,GSAT-19,
40,PSLV-C34 / CARTOSAT-2 Series Satellite,22-06-2016,PSLV-XL,CARTOSAT-2 Series Satellite,
41,PSLV-C38 / Cartosat-2 Series Satellite,23-06-2017,PSLV-XL,Cartosat-2 Series Satellite,
42,PSLV-C23,30-06-2014,PSLV-CA,,
43,PSLV-C32/IRNSS-1F,10-03-2016,PSLV-XL,IRNSS-1F,
44,PSLV-D3 / IRS-P3,21-03-1996,PSLV-G,IRS-P3,
45,ASLV-D1,24-03-1987,,SROSS-1,Mission Unsuccessful
46,PSLV-C27/IRNSS-1D,28-03-2015,PSLV-XL,IRNSS-1D,
47,GSLV-F08/GSAT-6A Mission,29-03-2018,GSLV,GSAT-6A,
48,ASLV-D4,05-05-1994,,SROSS-C2,
49,PSLV-C6/CARTOSAT-1/HAMSAT,05-05-2005,PSLV-G,CARTOSAT-1HAMSAT,
50,GSLV-F09 / GSAT-9,05-05-2017,GSLV,GSAT-9,
51,GSLV-D2 / GSAT-2,08-05-2003,GSLV-MK-II,GSAT-2,
52,ASLV-D3,20-05-1992,,SROSS-C,
53,PSLV-C46 Mission,22-05-2019,PSLV-CA,RISAT-2B,
54,RLV-TD,23-05-2016,,,
55,PSLV-C2/IRS-P4,26-05-1999,PSLV-G,Oceansat(IRS-P4),
56,SLV-3D1,31-05-1981,,Rohini Satellite RS-D1,
57,PSLV-C25,05-11-2013,PSLV-XL,Mars Orbiter Mission Spacecraft,
58,GSLV Mk III-D2 / GSAT-29 Mission,14-11-2018,GSLV-MK-III,GSAT-29,
59,PSLV-C47 / Cartosat-3 Mission,27-11-2019,PSLV-XL,Cartosat-3,
60,PSLV-C43 / HysIS Mission,29-11-2018,PSLV,HysIS,
61,PSLV-C18/Megha-Tropiques,12-10-2011,PSLV-CA,Megha-Tropiques,
62,PSLV-D2,15-10-1994,PSLV-G,IRS-P2,
63,PSLV-C26/IRNSS-1C,16-10-2014,PSLV-XL,IRNSS-1C,
64,PSLV-C5 /RESOURCESAT-1,17-10-2003,PSLV-G,IRS-P6 / RESOURCESAT-1,
65,PSLV-C3 / TES,22-10-2001,PSLV-G,The Technology Experiment Satellite (TES),
66,PSLV-C11,22-10-2008,PSLV-XL,Chandrayaan-1,
67,GSLV-F04 / INSAT-4CR,02-09-2007,GSLV-MK-II,INSAT-4CR,
68,GSLV-F05 / INSAT-3DR,08-09-2016,GSLV-MK-II,INSAT-3DR,
69,PSLV-C21,09-09-2012,PSLV-CA,,
