SN,Name,Launch Date,Launch Vehicle,Orbit Type,Application,Remarks
114,EMISAT,01-04-2019,PSLV-C45/EMISAT MISSION,SSPO,,
28,INSAT-2E,03-04-1999,Ariane-42P H10-3,GSO,['Communication'],
73,IRNSS-1B,04-04-2014,PSLV-C24/IRNSS-1B,GSO,['Navigation'],
8,INSAT-1A,10-04-1982,Delta,GSO,['Communication'],Failed in Orbit
35,INSAT-3A,10-04-2003,Ariane5-V160,GSO,"['Climate & Environment', ' Communication']",
106,IRNSS-1I,12-04-2018,PSLV-C41/IRNSS-1I,GSO,['Navigation'],
54,GSAT-4,15-04-2010,GSLV-D3 / GSAT-4,GSO,['Communication'],Launch Unsuccessful
9,Rohini Satellite RS-D2,17-04-1983,SLV-3,LEO,['Earth Observation'],
31,GSAT-1,18-04-2001,GSLV-D1 / GSAT-1,GSO,['Communication'],
1,Aryabhata,19-04-1975,C-1 Intercosmos,,['Experimental'],
51,RISAT-2,20-04-2009,PSLV-C12 / RISAT-2,SSPO,['Earth Observation'],
52,ANUSAT,20-04-2009,PSLV-C12 / RISAT-2,SSPO,['Student Satellite'],
58,RESOURCESAT-2,20-04-2011,PSLV-C16/RESOURCESAT-2,SSPO,['Earth Observation'],
59,YOUTHSAT,20-04-2011,PSLV-C16/RESOURCESAT-2,SSPO,['Student Satellite'],
65,RISAT-1,26-04-2012,PSLV-C19/RISAT-1,SSPO,['Earth Observation'],
49,CARTOSAT – 2A,28-04-2008,PSLV-C9 / CARTOSAT – 2A,SSPO,['Earth Observation'],
48,IMS-1,28-04-2008,PSLV-C9 / CARTOSAT – 2A,SSPO,['Earth Observation'],
83,IRNSS-1G,28-04-2016,PSLV-C33/IRNSS-1G,GEO,['Navigation'],
3,Rohini Technology Payload (RTP),10-08-1979,SLV-3E1,,,Launch Unsuccessful
78,GSAT-6,27-08-2015,GSLV-D6,GTO,['Communication'],
16,IRS-1B,29-08-1991,Vostok,SSPO,['Earth Observation'],
10,INSAT-1B,30-08-1983,Shuttle [PAM-D],GSO,['Communication'],
70,GSAT-7,30-08-2013,Ariane-5 VA-215,GSO,['Communication'],
101,IRNSS-1H,31-08-2017,PSLV-C39/IRNSS-1H Mission,,['Navigation'],Launch Unsuccessful
109,GSAT-11 Mission,05-12-2018,Ariane-5 VA-246,GTO,['Communication'],
23,INSAT-2C,07-12-1995,Ariane-44L H10-3,GSO,['Communication'],
75,GSAT-16,07-12-2014,Ariane-5 VA-221,GSO,['Communication'],
92,RESOURCESAT-2A,07-12-2016,PSLV-C36 / RESOURCESAT-2A,SSPO,['Earth Observation'],
118,RISAT-2BR1,11-12-2019,PSLV-C48/RISAT-2BR1,LEO,"['Disaster Management System', ' Earth Observation']",
76,Crew module Atmospheric Re-entry Experiment (CARE),18-12-2014,LVM-3/CARE Mission,,['Experimental'],
110,GSAT-7A,19-12-2018,GSLV-F11 / GSAT-7A Mission,,['Communication'],
42,INSAT-4A,22-12-2005,Ariane5-V169,GSO,['Communication'],
57,GSAT-5P,25-12-2010,GSLV-F06 / GSAT-5P,GSO,['Communication'],Launch Unsuccessful
24,IRS-1C,28-12-1995,Molniya,SSPO,['Earth Observation'],
